Batch No:0
Requestid				T									D
[238]				36.438712003									13.6834419925
[239]				37.4392127545									15.498966895
[241]				24.9525434121									0
[244]				27.1431786805									2.31666985412
[243]				32.6934674318									8.80868441946
[242]				38.4311314501									13.4969419836
[245]				31.8731029552									6.94831781212
[246]				29.6372061826									6.97803198635
[249]				21.1342346082									0
[247]				37.376557048									14.2397678299
[248]				37.5038352964									15.6156279291
[251]				24.6108180462									0
[252]				21.7986535162									0
[250]				41.0040636167									17.0371645939
[253]				24.5512358426									0
[254]				19.5209296565									0
[255]				21.6293924111									0
[256]				25.7921333347									0.927810536471
[257]				30.3829171549									5.63346319705
[258]				33.5552333758									8.85722982169
[260]				31.6498602137									7.53475506742
[259]				41.5380217023									17.384100836
[261]				23.768373771									0
[263]				23.4247567919									0
[262]				33.6932296988									8.77009431746
[266]				23.9112047744									0
[267]				25.3653298061									0.628965952316
[268]				20.8634193603									0
[264]				40.6387216457									17.7250822672
[265]				45.0378300799									20.4115029253
[270]				28.7386079224									3.80286160165
[271]				17.2175349016									0
[272]				16.7792622112									0
[273]				21.1232983139									0
[269]				52.1552131267									27.6834762633
[274]				21.0228903854									0
[275]				22.7601390085									0
[276]				27.4377638482									4.46892103298
[277]				9.53476745893									0
[278]				10.5881533606									0
[279]				5.0									0
[280]				7.00742939452									0
[281]				10.5502609149									0
[282]				13.6038133835									0
[283]				17.2562726711									0
[284]				17.2971264446									0
[285]				19.647563516									0
[286]				16.303817853									0
[287]				19.6448824196									0
[288]				22.0438159256									0
[289]				25.331793239									9.16947148668
[290]				6.08563121213									0
[291]				5.0									0
[292]				5.0									0
[293]				6.92646635904									0
[294]				11.0001830638									0
[295]				5.3088882329									0
[296]				6.26749126147									0
[297]				11.0366426985									0
[298]				14.9218736163									0
[299]				19.2982373149									0
[300]				16.7097024899									0
[301]				7.88328075005									0
[302]				11.5495396504									0
[303]				6.98115621574									0
[304]				9.63124609548									0
[305]				7.73995040324									0
[306]				5.0									0
[307]				5.0									0
[308]				5.0									0
[309]				7.16618306983									0
[310]				12.1053832981									0
[311]				12.8038939239									0
[312]				12.5027419708									0
[313]				16.2772559759									0
[314]				18.3203805409									0
[315]				21.030671618									0
[317]				23.6216670389									0
[318]				24.7429112056									0
[320]				16.5453514278									0
Batch No:1
Requestid				T									D
[319]				31.6869040591									12.8777714863
[321]				19.4636889632									0
[316]				50.8661403284									28.6847682356
[322]				22.80851616									0
[323]				23.191993602									0
[324]				18.5747819679									0
[325]				20.8707741954									0
[326]				20.4689216414									0
[327]				18.642400569									0
[328]				19.2109190453									0
[329]				22.2050252927									0
[330]				26.7194094911									2.19925092165
[332]				25.9608590238									1.83212954405
[333]				23.4406184575									0
[331]				41.171525587									20.3662724021
[334]				31.5144339206									7.37360186562
[336]				22.3094180551									0
[335]				33.9603217191									15.7224497629
[337]				18.662381911									0
[338]				16.6801195893									0
[339]				10.7497285936									0
[340]				7.69920558513									0
[341]				7.0344441866									0
[342]				10.6296312256									0
[343]				11.2670424908									0
[344]				5.0									0
[345]				8.36059322177									0
[346]				5.0									0
[347]				5.28897459997									0
[348]				7.28956419392									0
[349]				12.2717774									0
[350]				14.3043573471									0
[351]				18.1272939416									0
[352]				16.7750949444									0
[353]				7.98732616419									0
[354]				5.0									0
[355]				5.0									0
[356]				7.06694317933									0
[357]				11.375120467									0
[358]				9.37145753509									0
[359]				9.53461340469									0
[360]				6.99751035214									0
[361]				9.18691180211									0
[362]				5.0									0
[363]				8.56506131881									0
